actor_id,actor_name
nm0000375,Robert Downey Jr.
nm0001570,Edward Norton
nm0636201,Edward Norton
nm1165110,Chris Hemsworth
nm0262635,Chris Evans
nm0695435,Chris Pratt
nm9985479,Chris Pratt
nm2212645,Chris Pratt
nm9321372,Chris Pratt
nm0748620,Paul Rudd
nm0748621,Paul Rudd
nm3602498,Paul Rudd
nm1212722,Benedict Cumberbatch
nm4043618,Tom Holland
nm0390847,Tom Holland
nm4718969,Tom Holland
nm1569276,Chadwick Boseman
nm0488953,Brie Larson
nm0424060,Scarlett Johansson
nm4855517,Simu Liu
nm2110418,Gemma Chan
nm0000569,Gwyneth Paltrow
nm0001602,Guy Pearce
nm0000620,Mickey Rourke
nm0000239,Liv Tyler
nm1089991,Tom Hiddleston
nm0000164,Anthony Hopkins
nm9922244,Anthony Hopkins
nm0000204,Natalie Portman
nm0915989,Hugo Weaving
nm0000375,Robert Downey Jr.
nm0000168,Samuel L. Jackson
nm0004874,Vin Diesel
nm0757855,Zoe Saldana
nm0262635,Chris Evans
nm0000140,Michael Douglas
nm1431940,Evangeline Lilly
nm0252230,Chiwetel Ejiofor
nm0000474,Michael Keaton
nm0430107,Michael B. Jordan
nm1165110,Chris Hemsworth
nm6073955,Florence Pugh
nm5377144,Awkwafina
nm0534635,Richard Madden
nm3918035,Zendaya
