d.id,d.l,d.q,d.s,d.y,q
tt0371746,Iron Man,feature,"Robert Downey Jr., Gwyneth Paltrow",2008,iron man
tt1300854,Iron Man 3,feature,"Robert Downey Jr., Guy Pearce",2013,iron man
tt1228705,Iron Man 2,feature,"Robert Downey Jr., Mickey Rourke",2010,iron man
tt0800080,The Incredible Hulk,feature,"Edward Norton, Liv Tyler",2008,the incredible hulk
tt3501632,Thor: Ragnarok,feature,"Chris Hemsworth, Tom Hiddleston",2017,thor
tt0800369,Thor,feature,"Chris Hemsworth, Anthony Hopkins",2011,thor
tt1981115,Thor: The Dark World,feature,"Chris Hemsworth, Natalie Portman",2013,thor
tt0458339,Captain America: The First Avenger,feature,"Chris Evans, Hugo Weaving",2011,captain america: the first avenger
tt3498820,Captain America: Civil War,feature,"Chris Evans, Robert Downey Jr.",2016,captain america: the first avenger
tt1843866,Captain America: The Winter Soldier,feature,"Chris Evans, Samuel L. Jackson",2014,captain america: the first avenger
tt2015381,Guardians of the Galaxy,feature,"Chris Pratt, Vin Diesel",2014,guardians of the galaxy
tt3896198,Guardians of the Galaxy Vol. 2,feature,"Chris Pratt, Zoe Saldana",2017,guardians of the galaxy
tt2395427,Avengers: Age of Ultron,feature,"Robert Downey Jr., Chris Evans",2015,avengers: age of ultron
tt0478970,Ant-Man,feature,"Paul Rudd, Michael Douglas",2015,ant-man
tt5095030,Ant-Man and the Wasp,feature,"Paul Rudd, Evangeline Lilly",2018,ant-man
tt1211837,Doctor Strange,feature,"Benedict Cumberbatch, Chiwetel Ejiofor",2016,doctor strange
tt2250912,Spider-Man: Homecoming,feature,"Tom Holland, Michael Keaton",2017,spider-man: homecoming
tt6320628,Spider-Man: Far from Home,feature,"Tom Holland, Samuel L. Jackson",2019,spider-man: homecoming
tt1825683,Black Panther,feature,"Chadwick Boseman, Michael B. Jordan",2018,black panther
tt4154756,Avengers: Infinity War,feature,"Robert Downey Jr., Chris Hemsworth",2018,avengers: infinity war
tt4154796,Avengers: Endgame,feature,"Robert Downey Jr., Chris Evans",2019,avengers: infinity war
tt4154664,Captain Marvel,feature,"Brie Larson, Samuel L. Jackson",2019,captain marvel
tt3480822,Black Widow,feature,"Scarlett Johansson, Florence Pugh",2021,black widow
tt9376612,Shang-Chi and the Legend of the Ten Rings,feature,"Simu Liu, Awkwafina",2021,shang-chi and the legend of the ten rings
tt9032400,Eternals,feature,"Gemma Chan, Richard Madden",2021,eternals
tt10872600,Spider-Man: No Way Home,feature,"Tom Holland, Zendaya",2021,spider-man: no way home
tt0848228,The Avengers,feature,"Robert Downey Jr., Chris Evans",2012,the avengers
