Film,U.S..release.date,Director.s.,Screenwriter.s.,Producer.s.,Phase,Status
Iron Man,"May 2, 2008",Jon Favreau,Mark Fergus & Hawk Ostby and Art Marcum & Matt Holloway,Avi Arad and Kevin Feige,Phase One,Released
The Incredible Hulk,"June 13, 2008",Louis Leterrier,Zak Penn,"Avi Arad, Gale Anne Hurdand Kevin Feige",Phase One,Released
Iron Man 2,"May 7, 2010",Jon Favreau,Justin Theroux,Kevin Feige,Phase One,Released
Thor,"May 6, 2011",Kenneth Branagh,Ashley Edward Miller & Zack Stentz and Don Payne,Kevin Feige,Phase One,Released
Captain America: The First Avenger,"July 22, 2011",Joe Johnston,Christopher Markus & Stephen McFeely,Kevin Feige,Phase One,Released
Marvel's The Avengers,"May 4, 2012",Joss Whedon,Joss Whedon,Kevin Feige,Phase One,Released
Iron Man 3,"May 3, 2013",Shane Black,Drew Pearce and Shane Black,Kevin Feige,Phase Two,Released
Thor: The Dark World,"November 8, 2013",Alan Taylor,Christopher L. Yost and Christopher Markus & Stephen McFeely,Kevin Feige,Phase Two,Released
Captain America: The Winter Soldier,"April 4, 2014",Anthony and Joe Russo,Christopher Markus & Stephen McFeely,Kevin Feige,Phase Two,Released
Guardians of the Galaxy,"August 1, 2014",James Gunn,James Gunn and Nicole Perlman,Kevin Feige,Phase Two,Released
Avengers: Age of Ultron,"May 1, 2015",Joss Whedon,Joss Whedon,Kevin Feige,Phase Two,Released
Ant-Man,"July 17, 2015",Peyton Reed,Edgar Wright & Joe Cornish and Adam McKay & Paul Rudd,Kevin Feige,Phase Two,Released
Captain America: Civil War,"May 6, 2016",Anthony and Joe Russo,Christopher Markus & Stephen McFeely,Kevin Feige,Phase Three,Released
Doctor Strange,"November 4, 2016",Scott Derrickson,Jon Spaihts and Scott Derrickson & C. Robert Cargill,Kevin Feige,Phase Three,Released
Guardians of the Galaxy Vol. 2,"May 5, 2017",James Gunn,James Gunn,Kevin Feige,Phase Three,Released
Spider-Man: Homecoming,"July 7, 2017",Jon Watts,Jonathan Goldstein & John Francis Daley andJon Watts & Christopher Ford andChris McKenna & Erik Sommers,Kevin Feige and Amy Pascal,Phase Three,Released
Thor: Ragnarok,"November 3, 2017",Taika Waititi,Eric Pearson and Craig Kyle & Christopher L. Yost,Kevin Feige,Phase Three,Released
Black Panther,"February 16, 2018",Ryan Coogler,Ryan Coogler & Joe Robert Cole,Kevin Feige,Phase Three,Released
Avengers: Infinity War,"April 27, 2018",Anthony and Joe Russo,Christopher Markus & Stephen McFeely,Kevin Feige,Phase Three,Released
Ant-Man and the Wasp,"July 6, 2018",Peyton Reed,Chris McKenna & Erik Sommers andPaul Rudd & Andrew Barrer & Gabriel Ferrari,Kevin Feige and Stephen Broussard,Phase Three,Released
Captain Marvel,"March 8, 2019",Anna Boden and Ryan Fleck,Anna Boden & Ryan Fleck & Geneva Robertson-Dworet,Kevin Feige,Phase Three,Released
Avengers: Endgame,"April 26, 2019",Anthony and Joe Russo,Christopher Markus & Stephen McFeely,Kevin Feige,Phase Three,Released
Spider-Man: Far From Home,"July 2, 2019",Jon Watts,Chris McKenna & Erik Sommers,Kevin Feige and Amy Pascal,Phase Three,Released
Black Widow,"July 9, 2021 (2021-07-09)",Cate Shortland,Eric Pearson,Kevin Feige,Phase Four,Released
Shang-Chi and the Legend of the Ten Rings,"September 3, 2021 (2021-09-03)",Destin Daniel Cretton,Dave Callaham & Destin Daniel Cretton & Andrew Lanham,Kevin Feige andJonathan Schwartz,Phase Four,Released
Eternals,"November 5, 2021 (2021-11-05)",Chloé Zhao,Chloé Zhao and Chloé Zhao & Patrick Burleighand Ryan Firpo & Kaz Firpo,Kevin Feigeand Nate Moore,Phase Four,Released
Spider-Man: No Way Home,"December 17, 2021 (2021-12-17)",Jon Watts,Chris McKenna & Erik Sommers,Kevin Feigeand Amy Pascal,Phase Four,Released
Doctor Strange in the Multiverse of Madness,"May 6, 2022 (2022-05-06)",Sam Raimi,Michael Waldron,Kevin Feige,Phase Four,Post-production
Thor: Love and Thunder,"July 8, 2022 (2022-07-08)",Taika Waititi,Taika Waititi and Jennifer Kaytin Robinson,Kevin Feige andBrad Winderbaum,Phase Four,Post-production
Black Panther: Wakanda Forever,"November 11, 2022 (2022-11-11)",Ryan Coogler,Ryan Coogler & Joe Robert Cole,Kevin Feige,Phase Four,Post-production
The Marvels,"February 17, 2023 (2023-02-17)",Nia DaCosta,Megan McDonnell,Kevin Feige,Phase Four,Filming
Guardians of the Galaxy Vol. 3,"May 5, 2023 (2023-05-05)",James Gunn,James Gunn,Kevin Feige,Phase Four,Filming
Ant-Man and the Wasp: Quantumania,"July 28, 2023 (2023-07-28)",Peyton Reed,Jeff Loveness,Kevin Feige,Phase Four,Post-production
Fantastic Four,TBA,Jon Watts,TBA,Kevin Feige,Phase Four,In development
